Year of Birth,Gender,Ethnicity,Child_Name,Count,Rank,count_plus_5
2011,Female,Hispanic,Geraldine,13,75,18
2011,Female,Hispanic,Gia,21,67,26
2011,Female,Hispanic,Gianna,49,42,54
2011,Female,Hispanic,Giselle,38,51,43
2011,Female,Hispanic,Grace,36,53,41
2011,Female,Hispanic,Guadalupe,26,62,31
2011,Female,Hispanic,Hailey,126,8,131
2011,Female,Hispanic,Haley,14,74,19
2011,Female,Hispanic,Hannah,17,71,22
2011,Female,Hispanic,Haylee,17,71,22
2011,Female,Hispanic,Hayley,13,75,18
2011,Female,Hispanic,Hazel,10,78,15
2011,Female,Hispanic,Heaven,15,73,20
2011,Female,Hispanic,Heidi,15,73,20
2011,Female,Hispanic,Heidy,16,72,21
2011,Female,Hispanic,Helen,13,75,18
2011,Female,Hispanic,Imani,11,77,16
2011,Female,Hispanic,Ingrid,11,77,16
2011,Female,Hispanic,Irene,11,77,16
2011,Female,Hispanic,Iris,10,78,15
2011,Female,Hispanic,Isabel,28,60,33
2011,Female,Hispanic,Isabela,10,78,15
2011,Female,Hispanic,Isabella,331,1,336
2011,Female,Hispanic,Isabelle,18,70,23
2011,Female,Hispanic,Isis,13,75,18
2011,Female,Hispanic,Itzel,27,61,32
2011,Female,Hispanic,Izabella,23,65,28
2011,Female,Hispanic,Jacqueline,30,58,35
2011,Female,Hispanic,Jada,21,67,26
2011,Female,Hispanic,Jade,50,41,55
2011,Female,Hispanic,Jaelynn,11,77,16
2011,Female,Hispanic,Jamie,11,77,16
2011,Female,Hispanic,Janelle,12,76,17
2011,Female,Hispanic,Jaslene,11,77,16
2011,Female,Hispanic,Jasmin,20,68,25
2011,Female,Hispanic,Jasmine,41,48,46
2011,Female,Hispanic,Jayda,10,78,15
2011,Female,Hispanic,Jayla,33,55,38
2011,Female,Hispanic,Jaylah,12,76,17
2011,Female,Hispanic,Jayleen,51,40,56
2011,Female,Hispanic,Jaylene,22,66,27
2011,Female,Hispanic,Jaylin,13,75,18
2011,Female,Hispanic,Jaylyn,10,78,15
2011,Female,Hispanic,Jazlyn,16,72,21
2011,Female,Hispanic,Jazmin,24,64,29
2011,Female,Hispanic,Jazmine,14,74,19
2011,Female,Hispanic,Jennifer,59,34,64
2011,Female,Hispanic,Jessica,46,44,51
2011,Female,Hispanic,Jimena,11,77,16
2011,Female,Hispanic,Jocelyn,46,44,51
2011,Female,Hispanic,Johanna,12,76,17
2011,Female,Hispanic,Joselyn,30,58,35
2011,Female,Hispanic,Julia,22,66,27
2011,Female,Hispanic,Juliana,16,72,21
2011,Female,Hispanic,Julianna,21,67,26
2011,Female,Hispanic,Juliet,20,68,25
2011,Female,Hispanic,Juliette,15,73,20
2011,Female,Hispanic,Julissa,16,72,21
2011,Female,Hispanic,Kaelyn,11,77,16
2011,Female,Hispanic,Kailey,20,68,25
2011,Female,Hispanic,Kailyn,11,77,16
2011,Female,Hispanic,Kaitlyn,31,57,36
2011,Female,Hispanic,Kamila,36,53,41
2011,Female,Hispanic,Karen,41,48,46
2011,Female,Hispanic,Karla,25,63,30
2011,Female,Hispanic,Kate,27,61,32
2011,Female,Hispanic,Katelyn,23,65,28
2011,Female,Hispanic,Katelynn,10,78,15
2011,Female,Hispanic,Katherine,60,33,65
2011,Female,Hispanic,Katie,12,76,17
2011,Female,Hispanic,Kayla,62,31,67
2011,Female,Hispanic,Kaylee,83,20,88
2011,Female,Hispanic,Kayleen,19,69,24
2011,Female,Hispanic,Kayleigh,10,78,15
2011,Female,Hispanic,Kaylie,15,73,20
2011,Female,Hispanic,Kaylin,12,76,17
2011,Female,Hispanic,Keily,17,71,22
2011,Female,Hispanic,Kelly,41,48,46
2011,Female,Hispanic,Keyla,12,76,17
2011,Female,Hispanic,Khloe,57,35,62
2011,Female,Hispanic,Kiara,36,53,41
2011,Female,Hispanic,Kimberly,103,13,108
2011,Female,Hispanic,Krystal,13,75,18
2011,Female,Hispanic,Kylee,10,78,15
2011,Female,Hispanic,Kylie,37,52,42
2011,Female,Hispanic,Laila,29,59,34
2011,Female,Hispanic,Laura,14,74,19
2011,Female,Hispanic,Lauren,21,67,26
2011,Female,Hispanic,Layla,52,39,57
2011,Female,Hispanic,Lea,10,78,15
2011,Female,Hispanic,Leah,123,9,128
2011,Female,Hispanic,Leila,20,68,25
2011,Female,Hispanic,Leilani,33,55,38
2011,Female,Hispanic,Lesley,12,76,17
2011,Female,Hispanic,Leslie,66,27,71
2011,Female,Hispanic,Lesly,16,72,21
2011,Female,Hispanic,Leyla,10,78,15
2011,Female,Hispanic,Lia,26,62,31
2011,Female,Hispanic,Liana,18,70,23
2011,Female,Hispanic,Liliana,28,60,33
2011,Female,Hispanic,Lily,21,67,26
2011,Female,Hispanic,Lindsay,12,76,17
2011,Female,Hispanic,Lizbeth,30,58,35
2011,Female,Hispanic,London,27,61,32
2011,Female,Hispanic,Lucia,20,68,25
2011,Female,Hispanic,Luna,24,64,29
2011,Female,Hispanic,Luz,25,63,30
2011,Female,Hispanic,Madeline,15,73,20
2011,Female,Hispanic,Madelyn,16,72,21
2011,Female,Hispanic,Madison,122,10,127
2011,Female,Hispanic,Makayla,32,56,37
2011,Female,Hispanic,Maria,59,34,64
2011,Female,Hispanic,Mariah,33,55,38
2011,Female,Hispanic,Mariana,12,76,17
2011,Female,Hispanic,Marilyn,10,78,15
2011,Female,Hispanic,Marisol,10,78,15
2011,Female,Hispanic,Maya,49,42,54
2011,Female,Hispanic,Megan,11,77,16
2011,Female,Hispanic,Melanie,109,12,114
2011,Female,Hispanic,Melany,14,74,19
2011,Female,Hispanic,Melissa,50,41,55
2011,Female,Hispanic,Melody,23,65,28
2011,Female,Hispanic,Mia,229,2,234
2011,Female,Hispanic,Miah,17,71,22
2011,Female,Hispanic,Michelle,51,40,56
2011,Female,Hispanic,Mikaela,14,74,19
2011,Female,Hispanic,Mikayla,26,62,31
2011,Female,Hispanic,Mila,19,69,24
2011,Female,Hispanic,Miley,17,71,22
2011,Female,Hispanic,Miranda,11,77,16
2011,Female,Hispanic,Miriam,11,77,16
2011,Female,Hispanic,Mya,29,59,34
2011,Female,Hispanic,Nadia,14,74,19
2011,Female,Hispanic,Nancy,10,78,15
2011,Female,Hispanic,Naomi,22,66,27
2011,Female,Hispanic,Natalia,50,41,55
2011,Female,Hispanic,Natalie,46,44,51
2011,Female,Hispanic,Nataly,13,75,18
2011,Female,Hispanic,Natasha,11,77,16
2011,Female,Hispanic,Nathalia,10,78,15
2011,Female,Hispanic,Nathalie,26,62,31
2011,Female,Hispanic,Nathaly,20,68,25
2011,Female,Hispanic,Nayeli,17,71,22
2011,Female,Hispanic,Nevaeh,32,56,37
2011,Female,Hispanic,Nicole,71,25,76
2011,Female,Hispanic,Nina,11,77,16
2011,Female,Hispanic,Noemi,11,77,16
2011,Female,Hispanic,Nyla,16,72,21
2011,Female,Hispanic,Olivia,86,18,91
2011,Female,Hispanic,Paola,10,78,15
2011,Female,Hispanic,Penelope,14,74,19
2011,Female,Hispanic,Perla,12,76,17
2011,Female,Hispanic,Rachel,25,63,30
2011,Female,Hispanic,Raquel,11,77,16
2011,Female,Hispanic,Rebecca,10,78,15
2011,Female,Hispanic,Rihanna,21,67,26
